email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
info@mapeducation.com.np,,,Map Education Consultancy Pvt. Ltd.,,https://www.mapeducation.com.np,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,Map Education Consultancy Pvt. Ltd. (MEC) is an education agency supporting students and professionals with international education and career opportu
info@brilliantedunepal.com,,,Brilliant Education & Career Services Pvt. Ltd.,,https://www.brilliantedunepal.com,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,Brilliant Education is an education consultancy providing advice and counselling to students who wish to pursue undergraduate and postgraduate studies
info@silverskyef.com,,,Silver Sky Education Foundation Pvt ltd,,https://www.silverskyef.com,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Silver Sky Education Foundation Pvt. Ltd. is a student recruitment organisation based in Kathmandu, Nepal, and has been recruiting students since 2016"
info@stark.edu.np,,,STARK EDUCATIONAL CONSULTANCY PVT.LTD,,https://stark.edu.np/,KATHMANDU,,Nepal,study abroad / migration agent,icef_ias,"Stark Educational Consultancy, based in Putalisadak, Kathmandu, provides guidance and support to students seeking higher education opportunities abroa"
info@excel.edu.np,,,Excel Education Pvt. Ltd.,,https://www.excel.edu.np,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Excel Education is an education consultancy based in Nepal and operating since 2009, providing advice and placement support for students seeking highe"
--info@idbglobal.co,,,IDB Global Pvt. Ltd,,https://www.idbglobal.co,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Founded in 2016, IDB Global Services is an international education consultancy headquartered in Putalisadak, Kathmandu, Nepal. The company advises stu"
info@timeacademy.edu.np,,,TIME ACADEMY PVT. LTD.,,https://www.timeacademy.edu.np/,Tanahun,,Nepal,study abroad / migration agent,icef_ias,"We are a leading education consultancy in the Tanahun district of Western Nepal. At TIME ACADEMY, we are dedicated to helping students achieve their a"
info@eduquestnepal.com,,,EduQuest Nepal,,http://eduquestnepal.com,Kathamandu,,Nepal,study abroad / migration agent,icef_ias,"EduQuest Nepal is a specialised education consultancy focused on higher education opportunities in Australia, the United States, Canada, Thailand, and"
info@kavyaglobalnetwork.com.np,,,KAVYA GLOBAL NETWORK NEPAL,,https://kavyaglobalnetwork.com.np/,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Kavya Global Network Nepal Pvt. Ltd. is an education consultancy established in 2016, providing advisory services to students in Nepal seeking oversea"
admin@sumedhaeducation.com,,,Sumedha Education Network Pvt. Ltd.,,https://sumedhaeducation.com/,Dharan,,Nepal,study abroad / migration agent,icef_ias,
info@optimusglobal.edu.np,,,Optimus Global Educational Consultancy P. Ltd,,https://optimusglobaledu.com/,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,Optimus Global Education provides education consultancy services to institutions and organisations operating in the international education sector. We
info@pathfinders.com.np,,,Pathfinders International Education,,https://www.pathfinders.com.np,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"We are an international education consultancy registered with the Registrar’s Office and the Ministry of Education of Nepal, and a member of the Educa"
info@bostonec.edu.np,,,Boston Abroad Educational Consultancy Pvt. Ltd.,,https://www.bostonec.edu.np,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Boston Abroad Educational Consultancy Pvt. Ltd., established in 2006, is a leading private education consultancy and exam preparation institute based "
info@rnc.edu.np,,,Reaction Nepal Consultants Pvt. Ltd.,,https://www.rnc.edu.np,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Reaction Nepal Consultants Pvt. Ltd. is one of the consistent educational consultancies in Nepal, with its headquarters based in Kathmandu and numerou"
info@transiteducation.com.np,,,Transit Education Pvt Ltd,,https://www.tiac.com.np,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,Transit Education is a trusted educational consultancy dedicated to helping Nepalese students pursue higher education abroad. We provide comprehensive
info@medlineconsult.com,,,Medline Educational Consultancy,,https://www.medlineconsult.com,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,Medline Educational Consultancy provides international education advisory services focused on study-abroad pathways and guidance related to overseas m
hello@360education.global,,,Three Sixty Education Solutions Pvt. Ltd. (360 Education),,https://360education.global/,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"In 2004, Three Sixty Education was incorporated to meet the rising demand for study abroad opportunities among Nepalese students. Registered with loca"
info@impactuseducation.com,,,Impactus Education Pvt. Ltd,,https://www.impactuseducation.com,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"At Impactus Education, we believe that education is more than knowledge — it’s transformation. Our mission is to empower learners to realize their pot"
info@educationasia.com,,,Education Asia (P) LTD,,http://educationasia.com/,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Education Asia is an education consultancy and training centre registered with the Government of Nepal. Established in 2006, the organisation advises "
info@revolution.edu.np,,,Revolution Education Academy Pvt. Ltd.,,http://revolution.edu.np,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,Revolution Education is one of the most innovative and comprehensive study abroad partners in Nepal for students who wish to gain a foreign degree fro
info@viraedunepal.com,,,Vira Education Consultancy Pv t. Ltd.,,https://www.viraedunepal.com,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Vira Education is a leading consultancy specializing in international education, with over seven years of experience in the field. Backed by a dynamic"
info@csc.edu.np,,,CSC GLOBAL,,https://csc.edu.np/,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"CSC Global, established in 2013, supports students in Nepal in accessing higher education opportunities in the United Kingdom, the United States, Cana"
info.soundedu@gmail.com,,,Sound Education Consultancy Pvt. Ltd,,https://soundintledu.com/,Pokhara,,Nepal,study abroad / migration agent,icef_ias,"Sound Education Consultancy is an education consultancy established in 2024 and based in Pokhara, Nepal. The agency supports students seeking internat"
info@thirdeyeabroad.com,,,Third Eye Education And Learning Center Pvt. Ltd.,,https://thirdeyeabroad.com/,Pokhara,,Nepal,study abroad / migration agent,icef_ias,Third Eye Education and Learning Center Pvt. Ltd is an education consultancy based in Nepal that supports Nepalese students seeking to pursue further 
info@trinity.com.np,,,TRINITY EDUCATION PVT. LTD.,,https://trinity.com.np/,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Trinity Education is a leading education consultancy in Kathmandu, Nepal, with a branch office in Pokhara and international offices in Australia and t"
contact@stratford.edu.np,,,Stratford International Education Consultancy,,http://stratford.edu.np,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Stratford International Education Consultancy is an established student recruitment organisation based in Kathmandu, Nepal. Founded in 2011 by experie"
info@gostudyvisa.com,,,"Go Study Visa Consultancy Pvt. Ltd.,",,https://gostudyvisa.com/,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Go Study Visa Consultancy Pvt. Ltd. is a government approved education consultancy based in Kathmandu, Nepal (Reg. No. 376195/82/83, PAN 622455121). W"
info@gtg.edu.np,,,Get Through Guides Int'l Education Foundation (P) Ltd.,,https://www.gtg.edu.np,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,Get Through Guides was established in 2013 in Nepal and expanded to Australia in 2020. The organisation provides structured and reliable counselling f
support@aussieintl.com,,,Aussie International Education,,https://www.aussieintl.com,"Kathmandu, Nepal",,Nepal,study abroad / migration agent,icef_ias,"We are an educational consultancy headquartered in Bagbazar, Kathmandu, Nepal, with a presence across Nepal and in Leicester, United Kingdom. Since ou"
info@abcglobalstudy.com.au,,,ABC GLOBAL EDUCATION  CONSULTANCY,,https://abcglobalstudy.com.au/,Kathmandu,,Nepal,study abroad / migration agent,icef_ias,"ABC Global is one of the most reputable companies in the field. Our team has over a decade of experience, and we are a well-established organisation w"
info@platform.edu.np,,,Platform Education Foundation Pvt.Ltd,,https://www.platform.edu.np,kathmandu,,Nepal,study abroad / migration agent,icef_ias,"Platform Education Foundation was established in 2017 as a private limited company under the Government of Nepal and is located in Bagbazar, Kathmandu"
info@inspireglobaledu.com.np,,,Inspire Global Education Pvt. Ltd,,https://www.inspireglobaledu.com.np,Pokhara,,Nepal,study abroad / migration agent,icef_ias,"Established in 2017, Inspire Global Education believes in delivering the very best. Drawing on a family background rooted in disciplined service, we p"
