email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
vishwasint2010@gmail.com,,,Vishwas International,,https://www.vishwasinternational.in,Ambala City,,India,study abroad / migration agent,icef_ias,"Vishwas International is a premier study abroad consultancy with over 20 years of experience in overseas education and test preparation services, incl"
sjadhav@onesourceindia.org,,,One Source Overseas,,https://www.onesourceoverseas.com,Thane,,India,study abroad / migration agent,icef_ias,"ONESOURCE Overseas Consultants is an education consultancy based in India, supporting students seeking higher education opportunities abroad. The orga"
info@ssnroverseaseducation.com,,,SSNR OVERSEAS EDUCATION,,https://www.ssnroverseaseducation.com,Hyderabad,,India,study abroad / migration agent,icef_ias,"SSNR Overseas Education is a dedicated international education consultancy focused on guiding students toward quality higher education opportunities, "
enquiry@mwt.co.in,,,MWT Education Consultancy Pvt. Ltd,,https://mwtconsultancy.com/,Kochi,,India,study abroad / migration agent,icef_ias,MWT Consultancy is an overseas education and migration advisory firm dedicated to helping students and professionals pursue international opportunitie
helpdesk@visionstudygroup.com,,,Vision group(VGW Immigration & Educational consultants Pvt. Ltd),,https://www.visionstudygroup.com,Ludhiana,,India,study abroad / migration agent,icef_ias,"`Think Overseas. Think Vision’. Our tagline truly matches our Group’s mission and vision. Since our inception in 2007, we have been delivering excelle"
nineinternational@gmail.com,,,NINE International,,https://education.nine-group.com/,Vidhyanagar,,India,study abroad / migration agent,icef_ias,"NINE International® was founded in 2005, with the aim to provide effective and genuine counselling regarding abroad education to aspiring students, wh"
info@oiec.in,,,OIEC- Overseas immigration and education consultants,,https://www.oiec.in/,Khanna,,India,study abroad / migration agent,icef_ias,OIEC (Ojus International Education Consultants) is a Khanna (Punjab) based organization established in 2010 with the vision of providing a one-stop so
sunmerges@gmail.com,,,SUNMERGES EDUCATIONAL SERVICES,,https://www.sunmergeseducationalservice.co.uk,Hyderabad,,India,study abroad / migration agent,icef_ias,Sunmerge Education is an international student recruitment organization driven by a clear vision to deliver high-quality guidance to students aspiring
contact@iaecconsultants.com,,,IAEC Consultants Pvt. Ltd.,,https://www.iaecconsultants.com,Hyderabad,,India,study abroad / migration agent,icef_ias,IAEC Consultants Pvt Ltd is registered under the Companies Act 1956. Under one management it has 11 branches across India with the intellectual capita
enquiry@aspirationsabroad.in,,,Aspirations Abroad,,https://www.aspirationsabroad.in/,Hyderabad,,India,study abroad / migration agent,icef_ias,Aspirations Abroad is dedicated to helping students transform their study-abroad ambitions into reality through comprehensive guidance and expert supp
info@rightdirections.co.in,,,Right Directions Overseas Education Consultants,,https://www.rightdirectionsoverseas.com,Yamunanagar,,India,study abroad / migration agent,icef_ias,Right Directions is an overseas study education consultancy in India that helps students achieve their dream of studying abroad. We are committed to p
admin@edulaunch.co,,,Edulaunch,,https://www.edulaunch.co,New Delhi,,India,study abroad / migration agent,icef_ias,"Edulaunch is a renowned education consultancy that provides end to end services to students who wish to study abroad. At Edulaunch, we analyze student"
royaloxfordinstitutesamrala@gmail.com,,,Royal oxford institute,,http://royaloxfordgroup.com/,Ludhiana,,India,study abroad / migration agent,icef_ias,Royal Oxford Institute is a professional overseas education consultancy dedicated to helping students pursue international education and settlement op
info.bticonsultants@gmail.com,,,BTI EDUCATION AND CONSULTANTS,,https://www.bticonsultant.com/,BATHINDA,,India,study abroad / migration agent,icef_ias,"BTI Education and Consultants, based in Bathinda, is a premier immigration and study abroad consultancy dedicated to bridging the gap between aspiring"
info@gemoverseasconsultants.com,,,Gem Overseas Consultants Pvt Ltd,,https://www.gemoverseasconsultants.com/,Chandigarh,,India,study abroad / migration agent,icef_ias,"GEM Overseas Consultants is a premium global education and migration solutions company based in Chandigarh, India. With a strong international network"
kartic@spmoverseasedu.co.in,,,SPM STUDY ABROAD LLP,,https://spmconsultancyservices.com/,Madurai,,India,study abroad / migration agent,icef_ias,SPM Study Abroad LLP is a South India–based overseas education consultancy supporting students from first inquiry to enrollment and arrival. We provid
