email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
info@globalacademy.lk,,,GAFE GLOBAL ACADEMY OF FURTHER EDUCATION,,https://www.globalacademy.lk,Nugegoda,,Sri Lanka,study abroad / migration agent,icef_ias,"Global Academy of Further Education (GAFE), based in Nugegoda, Colombo, is a leading Sri Lankan study-abroad consultancy with over 18 years of experie"
info@scholar.lk,,,"International Scholar Educational Services (Pvt) Ltd.,",,https://www.international-scholar.com,Colombo 4,,Sri Lanka,study abroad / migration agent,icef_ias,"International Scholar Education Services was established in 1999 and incorporated as a private limited company in 2002, marking over 25 years of excel"
info@studyabroad.lk,,,Study Abroad (Pvt) Ltd.,,https://www.studyabroad.lk,Colombo,,Sri Lanka,study abroad / migration agent,icef_ias,"STUDY ABROAD (PVT) LTD is an international education consultancy founded in 2007 by Mrs. Priyanka Ganhataregedara, who brings extensive experience in "
info@evergreen.edu.lk,,,Evergreen Education and Visa Consultants (Pvt) Ltd,,https://evergreen.edu.lk/,Thalpitiya North,,Sri Lanka,study abroad / migration agent,icef_ias,Evergreen Education & Visa Consultants established in 2021 is a leading overseas education consultancy that works closely with reputed universities an
info@achievers-int.com,,,Achievers International,,https://www.achievers-int.com,NEGOMBO,,Sri Lanka,study abroad / migration agent,icef_ias,Achievers International is a global education consultancy dedicated to guiding students through every step of the study-abroad journey. They provide e
info@spectrumsrilanka.com,,,Spectrum Overseas Education Consultancy,,https://www.spectrumsrilankaedu.com/,Colombo,,Sri Lanka,study abroad / migration agent,icef_ias,"Spectrum Overseas Education Consultancy (SOEC), established in early 2015, is a premium overseas education consultant dedicated to finding the best fi"
info@achieve-via.com,,,Achieve-via Education,,https://www.achieve-via.com,Colombo,,Sri Lanka,study abroad / migration agent,icef_ias,Achieve-Via Education is an education consultancy that supports students seeking international study opportunities. The agency provides guidance on pr
info@eduvizinternational.lk,,,EduViz International Pvt Ltd,,https://www.eduvizinternational.lk/,Colombo,,Sri Lanka,study abroad / migration agent,icef_ias,EduViz International is an education consultancy based in Sri Lanka that supports students seeking international study opportunities. The agency provi
info@iltsoverseas.org,,,ILTS Overseas Education Pvt Ltd,,https://www.iltsoverseas.org,Maharagama,,Sri Lanka,study abroad / migration agent,icef_ias,ILTS Overseas Education Pvt Limited was established in 2015 and holds business registrations in both Sri Lanka and New Zealand. The company’s head off
info@uniwest.edu.lk,,,Uniwest Educational Services,,https://uniwest.edu.lk/,Matara,,Sri Lanka,study abroad / migration agent,icef_ias,"Uniwest Educational Services (Pvt) Ltd is a pioneering overseas education and visa consultancy in Sri Lanka, established in 2010 with our first office"
