email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
admissions@ruheglobalresources.com,,,Ruhe Global Resources,,https://www.ruhegr.com,Abuja,,Nigeria,study abroad / migration agent,icef_ias,"Ruhe Global Resources is a fully registered company headquartered in Abuja, Nigeria, established to meet the growing demand among students and profess"
info@skynedconsults.com,,,Skyned Consults Corporation,,https://skynedconsults.com/,Lagos,,Nigeria,study abroad / migration agent,icef_ias,Skyned Consults Corporation is dedicated to making international education accessible and achievable for African students by breaking barriers and cre
hello@michaelralphconsult.com,,,Michael and Ralph Consult,,http://michaelralphconsult.com,Lagos,,Nigeria,study abroad / migration agent,icef_ias,Michael Ralph Consult is an overseas educational placement consultancy. We are established mainly to assist intending international students and their
info@kryptonservices.com,,,Krypton Educational Services,,https://www.kryptonservices.com,Lagos,,Nigeria,study abroad / migration agent,icef_ias,Krypton Educational Services (K.E.S) is a distinguished international education consultancy established by seasoned professionals with extensive exper
info@rdcng.com,,,Resource Development Consult,,https://rdcng.com/,Ibadan,,Nigeria,study abroad / migration agent,icef_ias,Resource Development Consult provides professional advisory and recruitment services for Nigerian students pursuing higher education abroad. Understan
info@suave-consulting.com,,,Suave Consulting Limited,,https://www.suave-consulting.com,Abuja,,Nigeria,study abroad / migration agent,icef_ias,Suave Consulting provides international placement services for students pursuing undergraduate and postgraduate studies abroad. As a corporate member 
info@biggerinternationalconsult.com,,,Bigger International Consult Ltd.,,https://www.biggerinternationalconsult.com,Ibadan,,Nigeria,study abroad / migration agent,icef_ias,"We provide professional education and immigration advisory services to students from Africa, Asia, Europe, and beyond who wish to pursue studies at hi"
info@skytopservices.com,,,Skytop Services,,https://www.skytopservices.com,Port Harcourt,,Nigeria,study abroad / migration agent,icef_ias,"SKYTOP SERVICES is a rapidly growing educational consultancy with offices across Nigeria, dedicated to helping students access institutions worldwide "
info@doubledoveconsult.org,,,Double Dove Consult Nigeria,,https://www.doubledoveconsult.org,Abuja,,Nigeria,study abroad / migration agent,icef_ias,"Double Dove Consult (DDC) is a nationwide educational consultancy offering a seamless, one-stop solution for studying abroad. We guide students throug"
info@wcent.co.uk,,,Withcent Ventures,,http://wcent.co.uk,Benin City,,Nigeria,study abroad / migration agent,icef_ias,Withcent Ventures is a professionally incorporated Nigerian education consultancy established to meet the rising demand for internationally recognized
abuja@whiterock-edu.com,,,Whiterock Educational Services Ltd.,,https://www.whiterock-edu.com,Alagbado,,Nigeria,study abroad / migration agent,icef_ias,WhiteRock’s partnerships with universities and colleges worldwide enable the organization to simplify the recruitment process for both undergraduate a
info@mapleeducation.ca,,,Maple Education Canada Inc,,https://www.mapleeducation.ca,Lagos,,Nigeria,study abroad / migration agent,icef_ias,"Maple Education Canada Inc. delivers professional, efficient, and reliable immigration and education services for individuals and families seeking to "
info@dahenricrestconsult.com,,,Dahenric Crest Global Consult,,https://www.dahenricrestconsult.com,Ibadan,,Nigeria,study abroad / migration agent,icef_ias,Dahenric Crest (Global) Consult (DCC) is an international education consultancy providing end-to-end study abroad solutions across leading destination
info@eduinfrance.com,,,EduINFrance,,https://www.eduinfrance.com,Lagos,,Nigeria,study abroad / migration agent,icef_ias,
diajiant@yahoo.co.uk,,,Diamond Giant Consulting,,https://diamondgiantconsulting1.com/,Lagos,,Nigeria,study abroad / migration agent,icef_ias,Diamond Giant Enterprise is an international education consultancy specialising in the recruitment of qualified Nigerian students for overseas study a
info@gleeeducation.com,,,Glee Education,,https://www.gleeeducation.com,Abuja,,Nigeria,study abroad / migration agent,icef_ias,Glee is an international education and travel consultancy with over a decade of experience supporting clients in study abroad and global mobility. The
info@divinelinksedu.com.ng,,,Divinelinks Educational Consult,,https://www.divinelinksedu.com.ng,Ibadan,,Nigeria,study abroad / migration agent,icef_ias,Pursuing an international education can be both a significant opportunity and a complex undertaking. DIVINELINKS EDU CONSULT specializes in internatio
info@sttglobaleduconsults.com,,,STT Global Educonsults & Consultancy Services (SGEC),,https://www.sttglobaleduconsults.com,Lagos,,Nigeria,study abroad / migration agent,icef_ias,STT GLOBAL EDUCONSULTS & Consultancy is one of the best and leading Student Educational Consultancy Firms in Lagos that offers comprehensive education
info@ikogweinternational.co.uk,,,Ikogwe International Limited,,https://www.ikogwelimited.com,Benin City,,Nigeria,study abroad / migration agent,icef_ias,"Ikogwe International Limited is an education consultancy specializing in student counselling, recruitment, and placement into reputable institutions w"
info@skolaz.com,,,Skolaz Educational Services Ltd,,https://skolaz.com/,Ibadan,,Nigeria,study abroad / migration agent,icef_ias,Skolaz’s journey began as a leading international education consultancy committed to creating exceptional study abroad opportunities for students acro
info@risingsuneducation.com,,,Rising Sun Education Services Canada,,https://www.risingsuneducation.ca/,Port Harcourt,,Nigeria,study abroad / migration agent,icef_ias,Rising Sun Education Services provides professional guidance and support to students seeking to pursue higher education abroad. With a specialization 
info@holighteducation.ng,,,Holight Global Educational Services Ltd,,https://holighteducation.ng/,Ikeja,,Nigeria,study abroad / migration agent,icef_ias,"HGES specializes in career pathway consulting. We assist individuals in identifying suitable career paths based on their personality traits, skills, s"
info@maczeyeducation.com,,,Maczey Concept and Educational services,,https://www.maczeyeducation.com,Port Harcourt,,Nigeria,study abroad / migration agent,icef_ias,"Maczey Concept and Educational Services was established to be a pacesetter in global education, offering comprehensive and personalised counselling an"
info@rankoraconsulting.com,,,Rankora Consulting,,https://www.rankora.ca/,Abuja,,Nigeria,study abroad / migration agent,icef_ias,"At Rankora, we are a trusted education and immigration consulting center dedicated to guiding students and professionals toward global opportunities. "
info@midstromridge.com,,,Midstrom Ridge Ltd.,,https://www.midstromridge.com,Abuja,,Nigeria,study abroad / migration agent,icef_ias,"We support students throughout the entire application process to universities and colleges in the United Kingdom, Ireland, the United States, and Cana"
study@kelmaacareer.com,,,Kelmaa Career Path Consult,,https://www.kelmaaconsult.com,ABUJA,,Nigeria,study abroad / migration agent,icef_ias,Kelmaa Career Path Consult Ltd is a registered company specializing in student placement and visa counseling services. We represent and guide students
nusobnutaloltd@gmail.com,,,Nusobnutalo Ltd.,,https://www.nusobnutalo.org,Abuja,,Nigeria,study abroad / migration agent,icef_ias,"NustobNutalo is one of the fastest-growing educational consultancy firms, with offices in Nigeria, the United States, and Dublin. We are dedicated to "
admin@globalnetworksedu.com,,,Global Networks Educational Services Company,,https://www.globalnetworksedu.com,Ikeja,,Nigeria,study abroad / migration agent,icef_ias,"Every year, we assist over 100 applicants in securing admission to universities and colleges across major study destinations worldwide. Our comprehens"
info@virtueconsult.com,,,Virtue Consultancy Services,,https://www.virtueconsult.com,Lagos,,Nigeria,study abroad / migration agent,icef_ias,Virtue Consultancy Services is an educational placement and Counseling Agency. We provide services to a large clientele seeking academic pursuit overs
info@communitytrustnetworkng.com,,,Community Trust Network,,https://www.communitytrustnetworkng.com,Abuja,,Nigeria,study abroad / migration agent,icef_ias,"Community Trust Network (CTN) is a leading international education agency based in Nigeria, with years of proven experience in student placement and v"
info@eklaz.com,,,E-KLAZ Profit Ltd,,https://www.eklaz.com,Abuja,,Nigeria,study abroad / migration agent,icef_ias,E-Klaz Profit is a leading international education consultancy dedicated to helping students gain admission to top universities worldwide. Our team of
joewedu_foundation@yahoo.com,,,Joewendy Education Foundation,,http://joewendy.com.ng/,Lagos,,Nigeria,study abroad / migration agent,icef_ias,We are a registered education agency dedicated to helping students achieve their study abroad dreams. With partnerships across more than 40 reputable 
info@markmastars.com.ng,,,Markmastars Education and Consultancy Services,,https://www.markmastars.com.ng,Ogun State,,Nigeria,study abroad / migration agent,icef_ias,"MarkMastars Educational Services (MES) is a fast-growing student recruitment agency in Nigeria, representing leading UK universities through an intern"
