email,first_name,last_name,company,phone,website,city,state,country,niche,source,notes
admissions@edutrustintl.com,,,Edutrust International Services,,https://www.edutrustintl.com,Granville,,Australia,study abroad / migration agent,icef_ias,"EduTrust International Services supports students pursuing international education opportunities, with a strong focus on placements in Australia and o"
education@dreamway.com.au,,,Dream Way Travel and Education Agency,,https://www.dreamway.com.au,Hobart,,Australia,study abroad / migration agent,icef_ias,Dream Way Education & Travel Agency is an Australian-owned company based in Sydney and registered in New South Wales. Dream Way offers a wide range of
info@haysmigration.com,,,Hays Migration,,https://haysmigration.com.au/,Adelaide,,Australia,study abroad / migration agent,icef_ias,"Hays Migration is a migration and education agency based in Adelaide, specialising in study and migration pathways to Australia and New Zealand. We ha"
contact@trustmegroup.com.au,,,Trust Me Group,,https://www.trustmegroup.com.au,Tasmania,,Australia,study abroad / migration agent,icef_ias,"Trust Me Group is a student agency specializing in study abroad programs in Australia. We provide comprehensive services to international students, as"
info@mapeducation.com.au,,,Map Education and Visa Services private limited,,https://www.mapeducation.com.au,Parramatta,,Australia,study abroad / migration agent,icef_ias,MAP Education and Visa Services was established in 2015 and provides counselling and placement services for students seeking to study in Australia and
info@interlace.com.au,,,Interlace Studies,,https://interlacestudies.com/,Brisbane,,Australia,study abroad / migration agent,icef_ias,Interlace Studies is a trusted education and migration consultancy dedicated to helping international students achieve their academic and career goals
admission@avec-global.com,,,AVEC GLOBAL GROUP PTY LTD,,https://www.avec-global.com,Melbourne,,Australia,study abroad / migration agent,icef_ias,AVEC GLOBAL (Abroad Visa & Education Consultants) is a Melbourne-based education and migration consultancy established in 2024. The company specialize
%20hello@linkhousegroup.net,,,Link House Student Services,,https://www.linkhousegroup.net,Sydney,,Australia,study abroad / migration agent,icef_ias,"Link House, based in Australia, is an education consultancy specialising in study abroad opportunities for students from Latin America. The company pr"
laura@movingtimemigration.com,,,MET Australia Pty Ltd,,https://www.metaustralia.com.au,West Melbourne,,Australia,study abroad / migration agent,icef_ias,METAustralia was created with the purpose of helping students not only with educational enrolments and counseling but also in a fully comprehensive wa
info@visaprostudy.com.au,,,Visapro Study,,https://visaprostudy.com.au/,Melbourne,,Australia,study abroad / migration agent,icef_ias,VisaPro Study is a leading company specialized in helping Spanish speakers from Latin America and Spain to study and work in Australia. Our mission is
info@amesgroup.com.au,,,Australian Management and Education Services Pty. Ltd.,,https://amesgroup.com.au/,Sydney,,Australia,study abroad / migration agent,icef_ias,AMES Group (Australian Management & Educational Services) has been evaluating international students for approximately eighteen (18) years. The primar
info@achievevisa.com.au,,,Achieve Migration Consultants Pty Ltd,,https://www.achievevisa.com.au,Pallara,,Australia,study abroad / migration agent,icef_ias,Achieve Visa is an Australia‑based education and migration consultancy dedicated to supporting students in achieving their international academic and 
info@matesinternational.com.au,,,Mates International Education & Visa Services,,https://matesinternational.com/,Adelaide,,Australia,study abroad / migration agent,icef_ias,"Mates International is a global education and visa consultancy active since 2007, with registered operations in Australia and partner offices across I"
info@australiansmartedu.com.au,,,Australian Smart Education,,https://australiansmartedu.com.au/,Lakemba,,Australia,study abroad / migration agent,icef_ias,Australian Smart Education is an international student recruitment agency representing a broad range of study options across Australia. The organisati
info@onecareer.global,,,One Career,,https://onecareer.global/,Sydney,,Australia,study abroad / migration agent,icef_ias,One Career is a dynamic student recruitment agency committed to guiding and empowering individuals in their pursuit of academic and professional excel
